Amharic,Oromo,domain
ታምሜአለሁ።,dhukkubseen jira.,General
ተረጋጋ።,tasgabbaa'aa.,General
ተመለስ።,duubatti deebi'i.,General
ቶም ተነስቱዋል።,toom ol ka'eera.,General
አጭር ነኝ።,ani gabaabaa dha.,General
ይሰራል።,ni hojjeta.,General
ቀጥልበት።,itti fufi.,General
እታዘዛለሁ።,ani nan ajajama.,General
እርግጠኛ ነኝ።,ani mirkanaa'aa dha.,General
ትክክል ነኝ።,ani sirrii dha.,General
እድለኛ ነኝ።,carraa qaba.,General
እዚያ ነው።,achi jira.,General
ቀላል ነው።,salphaa dha.,General
ተመልከት።,mee ilaalaa.,General
እዚህ ነን።,nuti as jirra.,General
ቶም እየሞተ ነው።,toom du'aa jira.,General
አልስማማም።,ani walii hin galu.,General
አገኘሁት።,argadheera.,General
በደንብ ይሰራል።,akka gaariitti hojjeta.,Agriculture
ትክክል ነው።,sirriidha.,General
አንድ ብቻ ይውሰዱ።,tokko qofa fudhadhu.,General
ቶም ይቀራል።,toom ni tura.,General
አትዘን።,hin gaddinaa.,General
መምህር ነኝ።,ani barsiisaadha.,Education
ደስተኛ አይደለሁም።,ani hin gammadu.,General
ማንበብ እወዳለሁ።,dubbisuun natti tola.,General
መጮህ አቁም።,iyyaa dhiisaa.,General
ቶም ተቀምጧል።,toom taa'ee jira.,General
ቶም ይህን ይወዳል።,toom kana ni jaallata.,General
መብላት አለብን።,nyaachuu qabna.,General
መሞከር አለብን።,yaaluun dirqama.,General
ጠንካራ ነህ።,ati jabaadha.,General
እራት ዝግጁ ነው።,irbaata qophaa'eera.,General
ጨርሻለሁ።,xumureera.,General
መደነስ እወዳለሁ።,shubbisuun natti tola.,General
ደክሞኝ ነበር።,dadhabeen ture.,General
ቢራ እፈልጋለሁ።,biiraa tokkon barbaada.,General
እርግጠኛ አይደለሁም።,ani mirkanaa'aa miti.,General
አላገባሁም።,ani hin heerumne.,General
እኔ የቀዶ ጥገና ሀኪም ነኝ።,ani ogeessa baqaqsanii hodhuudha.,Religion
አይጎዳም።,hin miidhu.,General
እባክህ ተቀመጥ።,mee taa'aa.,General
ደስተኛ ይመስላሉ።,gammachuu fakkaatu.,General
ቶም ዲዳ አይደለም።,toom afaan hin qabu.,General
ቶም ታጋሽ ነው።,toom obsa qaba.,General
ቶም ያስታውሳል።,toom ni yaadata.,Health/Medical
መነጋገር አለብን።,haasa'uu qabna.,General
መምጣት አለብህ።,dhufuu qabda.,General
ደደብ ነህ።,ati gowwaa dha.,General
ቲሹ ስጠኝ።,tishuu tokko naaf kenni.,General
ወንድሜ ነው።,inni obboleessa kooti.,General
እሱ ሞኝ አይደለም።,inni gowwaa miti.,General
እንስሳትን ይወዳል።,bineensota ni jaallata.,Agriculture
አሁን መሄድ አለብኝ።,amma deemuun qaba.,General
በጣም ደስተኛ ነበርኩ።,baay'een gammade.,General
እየቀለድኩ ነው።,qoosaa qofaan jira.,General
ቀላል ይመስላል።,salphaa fakkaata.,General
ቫይረስ አይደለም።,vaayirasii miti.,Health/Medical
እንደገና ተመልከት።,ammas ilaalaa.,Religion
ማንም አያውቅም።,namni beeku hin jiru.,General
ማንም ፍጹም አይደለም።,namni mudaa hin qabne hin jiru.,General
በጣም አመሰግናለሁ።,baay'ee galatoomaa.,General
ውሃው ሞቃት ነው።,bishaan ho'aa dha.,General
ይህ ጥሩ ይመስላል።,kun gaarii fakkaata.,General
ቶም ንጹህ ነበር።,toom qulqulluu ture.,General
የተቻለህን አድርግ።,waan dandeessu hunda godhi.,General
መስራት ጀመርኩ።,hojii jalqabe.,General
እውነት ሊሆን አይችልም።,dhugaa ta'uu hin danda'u.,Religion
ጤናማ ይመስላል።,fayyaa fakkaata.,Health/Medical
አሁን በጣም ዘግይቱዋል።,amma yeroon isaa darbeera.,General
ሰኞ እንገናኝ።,isniina wal argina.,Religion
ውሃው ንጹህ ነው።,bishaan qulqulluudha.,General
ምንም ጥርጥር የለውም።,shakkiin hin jiru.,General
ውሃ የለም።,bishaan hin jiru.,General
ይህ በእኔ ላይ ነው።,inni kun narra jira.,General
ቶም ጀግና አይደለም።,toom goota miti.,General
ቶም ደስተኛ ይመስላል።,toom waan gammade fakkaata.,General
ቶም ማጥመድ ይወዳል።,toom qurxummii qabuu ni jaallata.,General
መብራቱን ያጥፉ።,ifa dhaamsaa.,General
ወንጀል አይከፍልም።,yakki hin kaffalu.,Government
ሙሉ በሙሉ እስማማለሁ።,guutummaatti walii gala.,General
እኔ አስተማሪ አይደለሁም።,ani barsiisaa miti.,Education
ልረዳህ እችላለሁ።,si gargaaruu nan danda'a.,General
አይመስለኝም።,ani akkas natti hin fakkaatu.,General
ጥቂት መጽሀፍት አሉኝ።,kitaabota muraasa qaba.,General
በቂ አይቻለሁ።,ga'aa argeera.,General
እዚያ መሆን አለብኝ።,achitti argamuun qaba.,General
ትንሽ ደክሞኛል።,xiqqoo dadhabeera.,General
ምናልባት እጣ ፈንታ ሊሆን ይችላል።,tarii hiree ta'uu danda'a.,General
አንዴ በቂ አይደለም።,al tokko gahaa miti.,General
ድመቱዋ ተኝታለች።,sareen rafaa jirti.,General
ውሃው ሞቃት ነበር።,bishaan sun ho'aa ture.,General
ችግር አለ።,rakkoon jira.,General
ሁሉም ተመሳሳይ ናቸው።,hundi isaanii wal fakkaatu.,General
ይህ በጣም አስቂኝ ነው።,kun waan nama kofalchiisudha.,General
ቶም መጻፍ ይወዳል።,toom barreessuu ni jaallata.,General
ቶም ስራውን ይወዳል።,toom hojii isaa ni jaallata.,General
ቶም ይህን ይወዳል።,toom akkas ni jaallata.,General
ለመረጋጋት ይሞክሩ።,tasgabbaa'uuf yaalaa.,General
ሁሉም ነገር ዝግጁ ነው።,wanti hundi qophaa'eera.,General
በጣም ወድጄዋለሁ።,baay'een jaalladha.,General
በስድስት እመለሳለሁ።,sa'aatii ja'aatti nan deebi'a.,General
