Amharic,Oromo,domain
ወደ ሶስተኛ ማርሽ ቀይር።,gara giiriin sadaffaatti jijjiiraa.,Agriculture
አብረው በማይመች ሁኔታ ጨፈሩ።,akkasumaan waliin shubbisan.,General
ማን እንደሆነ ያውቃሉ።,eenyu akka ta'e ni beeku.,General
አባትህ የት እንደሄደ ታውቃለህ፧,abbaan kee eessa akka dhaqe beektaa?,Religion
ፊቱን አስታውሳለሁ ግን ስሙን አላስታውስም።,fuula isaa nan yaadadha garuu maqaa isaa yaadachuu hin danda'u.,General
እንደዚህ አይነት ከባድ ጥያቄ እንዳትጠይቀኝ።,gaaffii cimaa akkasii na hin gaafatinaa.,Education
እንዳልረብሽሽ ተስፋ አደርጋለሁ።,akkan isin hin dhibne abdiin qaba.,General
ወንድሜ የሚኖረው በአንዲት ትንሽ መንደር ነው።,obboleessi koo ganda xiqqoo tokko keessa jiraata.,General
ሁሉም የተለመዱ ናቸው።,hundi isaanii waanuma jiruudha.,General
ቶም መጫወት ይፈልጋል።,toom taphachuu barbaada.,General
ፒካሶ ያንን ስእል በ1950 ሳለው።,pikaasoo suuraa sana bara 1950tti dibe.,General
በአስራዎቹ እድሜ መጀመሪያ ላይ ሳለሁ፣ ከወላጆቼ ጋር ሁልጊዜ ጥሩ ግንኙነት አልነበረኝም።,"yeroo umrii dargaggummaa kootti, yeroo hunda warra koo wajjin waliigaltee gaarii hin qabu ture.",Government
ማንም ፍላጎት የለውም።,namni fedhii qabu hin jiru.,General
ይህ ጠረጴዛ ለእኔ ትንሽ ዝቅተኛ ነው።,deeskiin kun anaaf xiqqoo gadi bu'aadha.,General
ቀበሮዎች ጥቂት የተፈጥሮ አዳኞች አሉዋቸው።,sareen bineensota uumamaa nama nyaatan muraasa qaba.,General
ከዚህ በኹዋላ መታገስ አልችልም።,kana booda obsuu hin danda'u.,General
የከፋው ነገር አልቁዋል።,inni hamaan dhumeera.,General
ቶም መሞትን አይፈልግም።,toom du'uu hin barbaadu.,Religion
ልታድነኝ አትችልም።,na oolchuu hin dandeessu.,General
ማስረጃው ቀላል ነው።,ragaan isaa waan salphaadha.,General
የበለጠ መጠንቀቅ ነበረብን።,silaa of eeggannoo cimaa gochuu qabna turre.,General
ሳሎን ውስጥ አንድ ትልቅ ሸረሪት ነበረች።,kutaa jireenyaa keessa saroonni guddaan tokko ture.,General
ቶም ተወዳጅ ሆነ።,toom nama jaallatama taʼe.,General
ውሻው ሌሊቱን ሙሉ ይጮኻል።,sareen halkan guutuu boo'uu itti fufte.,General
ቶም የተወሰኑ ፍሬዎችን ወስዶ በላ።,toom berries tokko tokko funaanee nyaate.,General
እኔ ስልክ ላይ ነኝ።,bilbilaan jira.,General
ካንተ ጋር መወያየት የምፈልገው ነገር አለ።,waan ani isin waliin mari'achuu barbaadu jira.,General
ቶም ስለ ክላሲካል ሙዚቃ በጣም ይወዳል።,toom muuziqaa kalaasikaa irratti quuqama guddaa qaba.,Education
ቶም አልተሳካለትም።,toom hin milkoofne.,General
ልደቴ በቅርቡ ይመጣል።,guyyaan dhaloota koo yeroo dhiyootti dhufaa jira.,General
በጠረጴዛው ላይ መዝገበ-ቃላት አለ።,deeskii irratti galmee jechootaa tokkotu jira.,General
ችግር ውስጥ እንዳለሁ አስባለሁ።,rakkoo keessa waanan jiru natti fakkaata.,General
ጀንበር ከመጥለቁዋ በፊት ለመራመድ ሌላ አስር ማይል ይኖረናል።,osoo aduun hin lixin maayilii kudhan kan biraa deemnee qabna.,General
በጣም ከባድ ጥያቄ ነው።,sun gaaffii baayyee ulfaataadha.,Education
እኔን ለመርዳት የምታደርጉትን ጥረት አደንቃለሁ።,carraaqqii ati na gargaaruuf gootan nan dinqisiifadha.,Agriculture
አባቴ ስራ በዝቶበት ነበር።,abbaan koo hojiin itti baayʼatee ture.,Religion
በማንኮራፋትህ ምክንያት አይኔን አላየሁም።,sababa qufa'uu keetiin ija tokkollee hin rafne.,General
ዘንድሮ ክረምቱ የዋህ ነው አይደል፧ በጣም ጥሩ ነው።,bara kana qorri lallaafaadha mitiiree? baayyee namatti tola.,General
በአለም ላይ እጅግ ባለጸጋ ነው ይላሉ።,nama dureessa addunyaa kanaati jedhu.,General
እኔ ራሴ ከቶም ጋር መነጋገር እፈልጋለሁ።,ofii kootii toomii wajjin haasa'uu barbaada.,General
"አሁን የገዛሁትን ይመልከቱ። ""ምንድነው ይሄ፧""","mee waanan amma bite ilaalaa. ""maali?""",General
ቶም በጣም የተደራጀ ነው አይደል፧,toom baay'ee gurmaa'eera mitiiree?,General
ዛሬ በጣም አስደሳች ቀን ነው።,har'a guyyaa baayyee nama gammachiisudha.,General
አረንጓዴ አውራ ጣት ያለህ ይመስላል።,qubni harkaa magariisa waan qabdu fakkaata.,General
ታዲያስ እንዴት ነው፧,heey maaltu ta'e?,General
ጥርሴ ሙሉ በሙሉ ጤናማ እና ከችግር የጸዳ ነው።,ilkaan koo guutummaatti fayyaa fi rakkoo irraa bilisa dha.,Health/Medical
ገንዘብ ያስፈልግዎታል፧,maallaqa si barbaachisa?,Business/Economy
ባለፈው ሳምንት ገዛሁት።,torban darbe bitadheera.,General
የድካም ስሜት ተሰምቱዋት ነበር።,akkanatti dadhabbiin itti dhagahamaa ture.,Health/Medical
ብዙም አልጎደለህም።,waan baay'ee si jalaa hin hafne.,General
ጨዋ ነበርኩኝ።,safuu kan hin qabne ture.,General
ጣፋጭ ነገር እፈልጋለሁ።,waan mi'aawaa barbaada.,General
