Amharic,Oromo,domain
እሰማሃለሁ።,si dhaga'uu nan danda'a.,General
ያዝኩት።,anis waliin wal'aansoo qaba ture.,General
ተናደደ።,innis maraataa ta'ee dheekkamaa ture.,General
ላናግርህ፧,si waliin haasa'uu danda'aa?,General
ይገርማል።,ati ajaa'iba ta'aa jirta.,General
እንነጋገርበት።,mee waa'ee isaa haa dubbannu.,General
ይገርማል።,sun waan ajaa'ibaa ta'a.,General
ይገርማል።,ati waan ajaa'ibaa hojjechaa jirta.,General
እንዳትጎዳህ።,akkan si miidhu na hin godhin.,General
አልተማመንበትም።,silaa itti hin lakkaa'u ture.,General
አልጨነቅም።,ani waa'ee isaa hin yaadda'u.,General
ሰልችቶኛል።,inni na boo'ee ba'uu dadhabeera.,General
በዚ ምሸት ዝመርሆ ምሸት ምሸት ምሸት ምሸት ምዃንካ ምሉእ ብምሉእ ምሉእ ብምሉእ ብምሉእ ምሉእ ብምሉእ ምሉእ ብምሉእ ምሉእ ብምሉእ ብምሉእ ምሉእ ብምሉእ ብምሉእ ምሉእ ብምሉእ ብምሉእ ምሉእ ብምሉእ ምሉእ ብምሉእ ምሉእ ብምሉእ ምሉእ ብምሉእ ምሉእ ብምሉእ ምሉእ ብምሉእ ብምሉእ ብምሉእ ብምሉእ ንእኡ ንእሽቶ ምኽንያቱ ንረክብ።,halkan kana sirbuu danda'a jedhee hin beeku.,General
