Amharic,Oromo,domain
ከእኔ ጋር መምጣት ትችላለህ፧,ana waliin dhufuu dandeessaa?,General
ገና ለገና ቤት አልሆንም።,ayyaana qillee mana hin galu.,Religion
ቶም ልጆችን አይፈልግም።,toom ijoollee hin barbaadu.,General
ንጉሱ ባለፈው አመት ከስልጣን ተነሱ።,mootiin kun bara darbe aangoo gadhiise.,Government
ስለ ቅናሹ እናመሰግናለን።,dhiyeessii kanaaf galatoomaa.,General
በረዶ ማቆም አቁሙዋል።,qorqorroon roobuu dhaabeera.,General
ወደ ሴትዮዋ ስቡዋል።,dubartii sanatti hawwatame.,General
ቶም ይህንን አይረዳም።,toom kana hin hubatu.,General
አይኖቹዋ በእንባ ተሞልተዋል።,ijji ishee imimmaan guutame.,General
ከሁሉም በላይ አመጋገብዎን ይመልከቱ።,hunda caalaa nyaata keessan ilaalaa.,General
ትናንት ማታ ቀዘቀዘ።,halkan edaa qorraan qabbanaa'e.,General
መሬቱ ቀዝቃዛ ነበር።,lafti qorra ture.,General
ቀሰቀሰከኝ።,na dammaqxe.,General
ጉዳዩ በሚቀጥለው ስብሰባ ላይ ይነሳል።,dhimmi kun walgahii itti aanutti ni ka'a.,Government
ማንም በእርግጠኝነት አያውቅም።,namni mirkanaa'ee beeku hin jiru.,General
ይህን እያደረግን ለማንም እንዳትናገር።,kana gochaa jirra nama tokkottillee hin himinaa.,General
ከዚያ የተሻለ ነገር ማሰብ አልቻልኩም።,waan kana caalu yaaduu hin dandeenye.,General
ክብደት መቀነስ እፈልጋለሁ።,ulfaatina qaamaa hir'isuu barbaada.,General
እኔ ማለት ይቻላል ቲቪ አይመለከትም።,tv hin ilaalu jechuun ni danda'ama.,General
ካንጋሮ አይተህ ታውቃለህ፧,kangaroo argitee beektaa?,General
ቅዳሜና እሁድን ከጓደኞቼ ጋር አሳለፍኩ።,dhuma torbee hiriyyoota koo waliin dabarseera.,General
ያለብኝን ገንዘብ ከወሩ መጨረሻ በፊት እንደምመልስልህ ቃል እገባለሁ።,maallaqa isin irraa qabu osoo baatii hin xumuramin akkan siif deebisu waadaa isiniif gala.,Education
ሊገድሉኝ ነው።,na ajjeesuuf deemu.,General
ቶም ክፍሉን በንጽህና ጠብቆታል።,toom kutaa sana qulqullina qaba ture.,Health/Medical
የፈራሁ ይመስላችኹዋል አይደል፧,na sodaadhe sitti fakkaata mitii?,General
ያ ስጋት ነው፧,sun balaadhaa?,General
ሁለታችሁም የህይወት ዘመን ደስታን እመኛለሁ።,lamaan keessan iyyuu gammachuu umurii guutuu isiniif hawwa.,General
ብዙ ተግባር ላይ ጥሩ አይደለሁም።,ani multitasking irratti ga'umsa hin qabu.,General
ግድግዳዎቹ በግራፊቲ ተሸፍነዋል።,dallaa irrattis barreeffamoota barreeffamaatiin kan uwwifame ture.,Agriculture
ማወቅ የምፈልገውን አስቀድሜ አውቃለሁ።,waanan beekuu barbaade duruu beeka.,General
የተበላሸ ልጅ ነው።,mucaa manca'eedha.,General
እንቁላል መንቀል አይችሉም።,hanqaaquu tokko unscramble gochuu hin dandeessu.,General
የካርቦን ፋይበር ከብረት ይልቅ ቀላል ነው።,faayibariin kaarboon sibiilaa caalaa salphaadha.,General
ቶም ለማለት እየሞከረ ያለውን የገባኝ ይመስለኛል።,Waan Toom jechuu yaalu waanan hubadhe natti fakkaata.,General
ምን እንደሚፈጠር ማን ያውቃል፧,waan ta'uuf deemu eenyutu beeka?,General
አያቱዋ በ88 አመታቸው ኖረዋል።,adaadaan ishee hanga waggaa 88 jiraatte.,General
ማንም ቶምን መንከባከብ አልፈለገም።,namni toom daa'ima kunuunsuu hin barbaanne.,General
ፈረንሳይኛ በመናገር ጎበዝ ነህ፧,afaan faransaayii dubbachuu irratti ga'umsa qabdaa?,General
ኢንሹራንስ የለንም,inshuraansii hin qabnu.,Business/Economy
ሂጂና ማርያምን አንሺ።,deemi maariyaam dammaqsi.,Religion
ይህንን የጣልከው ይመስለኛል።,kana waan gadi dhiifte natti fakkaata.,General
ከመሮጥ ብዋኝ እመርጣለሁ።,fiigicha deemuu mannaa dambalii naaf wayya.,General
ተሳስቱዋል ብዬ አሳመንኩት።,dogoggora akka ta'e amansiiseera.,General
በጭንቅላቱ ላይ እብጠት አለ።,mataa isaa irratti dhiita'uu qaba.,Health/Medical
