Amharic,Oromo,domain
ሂድ።,deemi.,General
ሃይ.,akkam.,General
ሩጡ!,fiiguu!,General
ሩጡ።,fiiguu.,General
የአለም ጤና ድርጅት?,eenyu?,Health/Medical
ዋዉ!,ajaa'iba!,General
ዳክዬ!,daakiyyee!,General
እሳት!,abidda!,General
እርዳ!,gargaaruu!,General
ደብቅ,dhoksuu.,General
ዝለል!,utaaluu!,General
ዝለል።,utaaluu.,General
ተወ!,dhaabuu!,General
ጠብቅ!,eegi!,General
ጠብቅ.,eegi.,General
ጀምር።,jalqabuu.,General
ቀጥል.,itti fufi.,General
ሀሎ!,akkam!,General
ሀሎ.,akkam.,General
ገባኝ.,nan arga.,General
ሞከርኩ.,ani yaala.,General
አሸነፍኩኝ!,injifadheera!,General
አሸነፍኩኝ.,injifadheera.,General
በፍፁም!,yaa lakki!,General
ዘና በል.,of gadhiisuu.,General
ፈገግ ይበሉ።,qummaaduu.,General
አዝናለሁ?,dhiifama?,General
ጥቃት!,haleellaa!,Government
ግዛው.,bitadhaa.,General
ቺርስ!,sitti haa tolu!,General
ብላው.,nyaadhaa.,General
ተነሳ.,ol ka'i.,General
አሁን ሂድ.,amma deemi.,General
ገባኝ!,naaf galeera!,General
ገባኝ?,naaf galeera?,General
ግባ።,hop in.,General
አቀፈኝ.,na hammadhu.,General
ወደኩኝ.,kufe.,General
ሸሸሁ።,baqadheen ba'e.,General
ሸፍኛለሁ።,ani ni hodha.,General
አውቃለሁ.,beeka.,General
ወጣሁ።,anis dhiiseen deeme.,General
ዋሽቻለሁ.,ani sobe.,General
ጠፍቶኛል.,nan mo'ame.,General
ከፍየበታለሁ.,ani kaffaleera.,General
አልፋለሁ።,ani darba.,General
እዚህ ጋር አበቃሁ.,anis dhiiseen ture.,General
19 አመቴ ነው።,umuriin koo waggaa 19.,General
ደህና ነኝ.,ani ok dha.,General
ያዳምጡ።,dhaggeeffachuu.,General
በጭራሽ!,gonkumaa hin ta''u!,General
እውነት?,dhugaadhumatti?,Religion
አመሰግናለሁ!,galatoomi!,General
አመሰግናለሁ.,galatoomi.,General
ሞክረው.,yaali.,General
እንሞክራለን.,ni yaalla.,General
አሸንፈናል።,injifanne.,General
ቶምን ጠይቅ።,toomii gaafadhu.,General
ጠይቁት።,isa gaafadhu.,General
ደስ የሚል!,ajaa'iba!,General
ተረጋጋ።,tasgabbaa'aa.,General
አሪፍ ሁን።,qabbanaawaa ta'i.,General
ፍትሃዊ ይሁኑ።,haqa qabaadhu.,General
ደግ ሁን።,gaarummaa qabaadhu.,General
ጥሩ ይሆናል.,nama gaarii ta'i.,General
ምታው.,itti rukutaa.,General
ያቃጥሉት.,gubaa.,General
ቅበሩት።,awwaala.,General
ጥራኝ.,na waami.,General
ይደውሉልን።,nuuf bilbilaa.,General
ግባ.,koottaa.,General
በል እንጂ!,kottu!,General
በል እንጂ.,kottu.,General
ጣሉት!,itti gadi dhiisaa!,General
አጣጥፈው።,dachaasaa.,General
ቶም ያግኙ።,toomii argadhu.,General
ውጣ!,ba'aa!,General
ውጣ.,ba'aa.,General
ወደዚያ ሂድ!,narraa deemi!,General
ወደዚያ ሂድ.,narraa deemi.,General
ተመለስ.,duubatti deebi'i.,General
ወደቤት ሂድ.,manatti deebi'aa.,General
በቀስታ ይሂዱ።,suuta jedhii deemi.,General
በህና ሁን!,nagaatti!,General
በህና ሁን.,nagaatti.,General
ቆይ!,rarra'aa!,General
ቆይ.,rarra'aa.,General
ወጣ.,innis ni deeme.,General
ይሮጣል።,inni fiiga.,General
እርዱኝ!,na gargaaraa!,General
እርዱኝ.,na gargaaraa.,General
እርዱን.,nu gargaaraa.,General
ያዘው!,qabadhaa!,General
ቆይ አንዴ.,na eegi.,General
እንዴት ያሳዝናል!,akkam nama gaddisiisa!,General
ቶምን ማቀፍ።,toomii hammadhu.,General
እሳማማ አለህው.,aniis walii gala.,General
አለቀስኩኝ.,jedheen boo'e.,General
አንዘፈዘፈ።,hirribaan rafe.,General
እየነዳሁ ነው።,ani konkolaachisa.,General
ነዳሁ።,konkolaachisee ture.,General
ተኩስሁ።,ani dhukaase.,General
ቀረሁ።,anis qorraan qabbanaa'e.,General
አጨሳለሁ።,ani tamboo xuuxa.,General
አኩርፋለሁ።,nan qoonqa.,General
እሸታለሁ።,na urgooftuu.,General
ቆምኩኝ።,anis dhaabadhe.,General
ማልኩ።,jedheen kakadhe.,General
ሞከርኩ.,yaaleen ture.,General
እያወዛወኩኝ,jedheen harka koo rukute.,General
እሄዳለሁ.,ani nan deema.,General
እኔ ቶም ነኝ።,ani toomiidha.,General
ወፍራም ነኝ.,ani furdaadha.,General
ብቁ ነኝ።,ani fit dha.,General
ተመታሁ!,ani rukutame!,General
ታምሜአለሁ።,dhukkubseen jira.,General
እኔ አዝኛለሁ.,gaddeen jira.,General
አይናፋር ነኝ.,ani qaana'eera.,General
ረጥብያለሁ.,ani jiidheera.,General
እኔ ነኝ!,ana!,General
ተቀላቀለን.,nu waliin ta'aa.,General
ውሰደው.,itti qabadhu.,General
ይምቱት።,itti rukutaa.,General
ግደለው.,ajjeesaa.,General
ሳሚኝ.,na dhungadhu.,General
ዝቅ ብለህ ተኛ።,gad ciisi.,General
ቆልፈው።,qulfii godhaa.,General
እኔም.,anis akkasuma.,General
ቀጥልበት.,itti fufaa.,General
ክፈተው.,bani.,General
መክፈት.,bani.,General
አጣምር።,lamaan lama ta'uu.,General
ፍጹም!,mudaa kan hin qabne!,General
ይጎትቱት።,harkisaa.,General
ግፋው.,dhiibaa.,General
አንገናኛለን!,nagaatti!,Religion
አንገናኛለን.,nagaatti.,Religion
አሳየኝ.,natti agarsiisi.,General
ዝም በል!,afaan kee qabi!,General
ተመዝገቢ.,galmaa'i.,Business/Economy
ይዝለሉት።,itti darbi.,General
በጣም ረጅም.,akkas dheeraa.,General
ወሰደው.,fudhadhaa.,General
ንገረኝ.,natti himi.,General
ቶም አሸነፈ።,toom injifate.,General
ተነሽ!,dammaqi!,General
ተነሽ.,dammaqi.,General
መታጠብ.,dhiqadhu.,General
ግድ ይለናል።,nu dhimmi ilaalla.,General
እናውቃለን.,ni beekna.,General
ተሸንፈናል።,mo'amne.,General
እንኳን ደህና መጣህ.,baga nagaan dhufte.,General
ማን ሮጦ ነበር?,eenyuutu fiige?,General
ማን አሸነፈ?,eenyutu injifate?,General
ትሮጣለህ።,ati fiigda.,General
ታሸንፋለህ.,ati injifatta.,General
ከፍ ያለ አላማ ያድርጉ።,kaayyoo ol kaasuu.,General
ወፍራም ነኝ?,ani furdaa?,General
ጠይቃቸው።,isaan gaafadhu.,General
ዘወር በል!,duubatti deebi'aa!,General
ዘወር በል.,duubatti deebi'aa.,General
ሰው ሁን።,dhiira ta'i.,General
ድፈር.,jajjabaadhu.,General
አጭር ሁን።,gabaabduu ta'i.,General
ባለህበት እርጋ.,callisu.,General
ቶም ይደውሉ.,toomiif bilbilaa.,General
ተደሰት!,gammachuu!,General
